,Locality,Type of property,Subtype of property,Price,Number of bedrooms,Livable surface,Kitchen equipment,Number of bathrooms,Number of toilets,Floor of appartment,Number of floors,Balcony,State of the property,Build Year,Surface bedroom 1,Furnished,Surface of living-room,Cellar,Surface kitchen,Entry phone,Elevator,Number of showers,Orientation of the front facade,Number of facades,Terrace,Surface terrace,Surface bedroom 2,Security door,Access for disabled,Sewer Connection,Garden,Surface garden,Surface bedroom 3,Garage
10856,6010 Couillet,house,residence,209000,3,130.0,Super equipped,1,2,,,0,Normal,,17.63814161183899,0,35.0,0,14.161833457433845,0,0,1,,3,0,0,14.27787958028671,0,0,1,0,,11.592018836245291,0
10857,6010 Couillet,house,residence,100000,3,,Partially equipped,1,1,,,0,Normal,,,0,,0,,0,0,1,,2,0,0,,0,0,1,0,,,0
10858,6010 Couillet,house,residence,159000,2,100.0,Partially equipped,1,1,,,0,Normal,,13.567801239876145,0,30.0,0,10.89371804417988,0,0,1,,4,0,0,10.982984292528238,0,0,1,1,120.0,8.916937566342531,1
10859,6010 Couillet,house,residence,125000,3,70.0,Partially equipped,1,1,,,0,Normal,,9.497460867913302,0,24.0,0,7.625602630925917,0,0,1,North-east,2,0,0,7.688089004769767,0,0,1,1,76.0,6.241856296439772,0
10860,6010 Couillet,house,residence,199000,5,,Partially equipped,3,1,,,0,New,,,0,,0,,0,0,1,,2,0,0,,0,0,1,0,,,1
10861,6010 Couillet,house,residence,120000,1,129.0,Partially equipped,1,1,,,0,Normal,,12.0,0,35.0,1,15.0,0,0,1,,3,1,24.0,14.168049737361429,0,0,1,0,,11.502849460581865,1
10862,6010 Couillet,house,residence,129000,3,100.0,Partially equipped,1,1,,2,0,Excellent,,15.0,0,12.0,0,10.89371804417988,0,0,1,,2,1,10.0,12.0,0,0,1,1,120.0,10.0,0
10864,6010 Couillet,house,residence,89000,5,112.0,Partially equipped,1,1,,,0,Normal,,15.195937388661283,0,17.0,0,12.200964209481468,0,0,1,,2,1,21.0,12.300942407631627,0,0,1,0,,9.986970074303635,0
10865,6010 Couillet,house,residence,199000,3,160.0,Fully equipped,1,1,,,0,Normal,,21.708481983801832,0,46.864950839225855,1,17.42994887068781,0,0,1,,2,1,,17.572774868045183,0,0,1,1,,14.26710010614805,1
10866,6010 Couillet,house,residence,85000,2,,Partially equipped,1,1,,,0,Normal,,,0,,0,,0,0,1,,2,0,0,,0,0,1,0,,,0
